,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
156,Good,France,Female,33,7,0.0,2,False,False,82996.47,False
157,Poor,Spain,Female,28,2,0.0,2,True,True,92067.35,False
158,Fair,France,Female,73,6,97259.25,1,False,True,104719.66,False
159,Fair,Germany,Female,33,4,123246.7,1,False,False,112687.57,False
160,Good,Spain,Female,22,6,101060.25,1,False,True,84699.56,False
161,Good,France,Male,30,2,0.0,2,True,False,83473.82,False
162,Excellent,France,Female,49,7,108007.36,1,False,False,47125.11,False
163,Good,Spain,Female,36,2,0.0,2,True,True,106977.8,False
164,Good,Spain,Male,29,0,133702.89,1,True,False,55582.54,True
165,Fair,Germany,Male,31,9,125189.75,2,True,True,139874.43,False
166,Good,Germany,Female,24,7,113034.22,1,True,False,162503.48,True
167,Fair,Spain,Female,41,9,109013.23,1,True,False,196499.96,False
168,Good,Spain,Female,39,2,0.0,2,True,False,40721.24,True
169,Good,Germany,Male,24,9,57929.81,2,False,False,53134.3,False
170,Very_Poor,France,Female,29,4,130114.39,1,True,False,164017.89,False
171,Fair,Germany,Male,27,5,95826.49,2,True,False,155996.96,False
172,Very_Poor,Germany,Male,44,10,129608.57,1,True,False,5472.7,True
173,Poor,France,Male,30,4,169462.09,1,True,False,112187.11,False
174,Poor,France,Male,40,5,0.0,2,True,True,146457.83,False
175,Very_Poor,Spain,Female,35,7,133868.21,1,True,True,27286.1,False
176,Poor,France,Female,30,0,0.0,2,True,True,130553.47,False
177,Fair,Germany,Male,36,5,190479.48,2,False,False,179351.89,False
178,Poor,Spain,Female,40,8,101993.12,1,False,True,94774.12,False
179,Good,Germany,Female,55,3,161608.81,1,True,False,8080.85,True
180,Excellent,Spain,Female,45,2,122311.21,1,True,True,19482.5,False
181,Poor,France,Male,65,2,0.0,2,True,True,48071.61,False
182,Good,Germany,Female,45,1,162150.42,2,True,False,174531.27,False
183,Fair,France,Male,42,2,0.0,2,True,True,55470.78,False
184,Excellent,France,Female,50,4,0.0,1,True,True,8546.87,True
185,Poor,France,Male,32,8,0.0,2,True,False,95857.18,False
186,Good,France,Female,39,1,99010.67,1,True,False,194945.8,False
187,Poor,Spain,Female,37,0,0.0,1,False,True,131521.72,False
188,Fair,Spain,Male,30,5,0.0,2,False,True,196108.51,False
189,Good,Germany,Female,34,7,111388.18,2,True,False,148564.76,False
190,Good,France,Female,41,8,56214.85,2,False,False,92982.61,True
191,Poor,France,Female,36,3,84327.77,2,True,False,17675.36,False
192,Very_Poor,France,Male,40,1,0.0,2,False,False,114996.43,False
193,Fair,France,Male,32,8,93012.89,1,True,False,86957.42,False
194,Poor,Spain,Male,29,9,61710.44,2,True,False,128077.8,False
195,Excellent,France,Male,35,3,174790.15,1,True,True,600.36,False
196,Fair,Spain,Female,32,6,0.0,2,True,True,43001.46,False
197,Good,Germany,Male,37,3,107720.64,1,True,True,158591.12,False
198,Poor,France,Male,57,10,0.0,2,True,True,47847.19,False
199,Poor,France,Male,35,6,96423.84,1,True,False,10488.44,False
200,Excellent,Spain,Male,30,2,141040.01,1,True,True,5978.2,False
201,Good,France,Male,42,4,105420.18,1,False,True,121409.06,False
202,Poor,Spain,Male,50,5,0.0,1,False,True,146145.93,True
203,Good,France,Female,38,2,129022.06,2,True,True,14374.86,True
204,Poor,Spain,Male,33,3,176666.62,1,True,False,94670.77,False
205,Poor,France,Male,37,3,0.0,1,True,True,179670.31,False
206,Fair,Spain,Female,41,3,89763.84,1,False,False,199304.74,True
207,Fair,France,Male,34,5,134954.53,1,True,True,151954.39,False
208,Fair,France,Male,45,5,0.0,1,True,False,142513.5,True
209,Good,France,Male,45,2,106376.85,1,False,True,158264.62,False
210,Good,Germany,Male,33,2,161814.64,2,True,False,169381.9,False
211,Fair,France,Male,31,8,0.0,2,True,True,169915.02,False
212,Fair,France,Female,41,9,0.0,2,False,False,88852.47,False
213,Good,France,Female,34,1,63095.01,1,True,True,40645.81,False
214,Poor,Germany,Male,26,4,118287.01,2,False,False,60427.3,False
215,Good,Germany,Male,47,7,106854.21,1,False,True,157959.02,True
216,Good,France,Male,46,7,49512.55,1,True,False,133007.34,False
217,Good,Spain,Female,33,9,0.0,2,False,False,176576.62,False
218,Excellent,France,Male,43,1,105799.32,2,True,False,34888.04,True
219,Poor,France,Male,54,8,0.0,1,True,True,28737.71,True
220,Good,France,Female,31,9,114722.05,2,True,True,98178.57,False
221,Poor,Spain,Male,30,7,0.0,1,False,True,125010.24,False
222,Poor,France,Male,42,2,0.0,2,True,True,167984.61,False
223,Excellent,France,Male,33,10,0.0,1,True,False,4861.72,True
224,Good,Germany,Male,45,6,99564.22,1,True,True,108872.45,True
225,Good,France,Male,37,4,170557.91,2,True,False,198252.88,False
226,Good,France,Female,30,9,0.0,2,True,True,26960.31,False
227,Poor,Germany,Female,39,6,74596.15,3,True,True,85746.52,True
228,Good,Germany,Male,50,2,96888.39,1,True,False,77206.25,True
229,Poor,Germany,Female,29,3,130830.22,1,True,False,61048.53,False
230,Good,France,Male,72,1,0.0,2,False,True,111981.19,False
231,Fair,France,Male,40,0,0.0,2,True,False,62232.6,False
232,Poor,France,Female,37,1,0.0,2,False,True,156105.03,False
233,Good,Germany,Male,20,3,119714.25,2,False,True,150135.38,False
234,Poor,France,Female,67,5,113978.97,2,False,True,93146.11,False
235,Good,Germany,Male,42,6,100160.75,1,True,False,33462.94,True
236,Good,France,Female,29,2,0.0,1,True,True,144375.0,False
237,Poor,Germany,Female,43,3,116220.5,3,True,False,55803.96,True
238,Good,France,Female,46,2,0.0,3,True,False,89048.46,True
239,Good,France,Male,28,2,81173.83,2,False,True,162812.16,False
240,Good,Spain,Male,38,4,0.0,2,True,False,136259.65,False
241,Good,Germany,Female,39,5,116803.8,1,True,False,124052.97,False
242,Good,France,Male,37,8,105961.68,2,False,True,74158.8,False
243,Fair,Germany,Male,67,6,117411.6,1,True,True,45071.09,True
244,Poor,Spain,Male,34,7,0.0,2,True,False,62030.06,False
245,Fair,France,Female,40,10,123497.58,1,True,False,131953.23,True
246,Good,Germany,Male,26,7,152400.51,2,True,False,79414.0,False
247,Poor,France,Female,26,1,0.0,2,True,True,199638.56,False
248,Fair,Germany,Male,24,8,103097.85,1,True,True,157577.29,False
249,Good,Germany,Male,54,8,126418.14,1,True,False,134420.75,True
250,Good,Germany,Female,36,5,77846.9,1,False,False,99805.99,False
251,Poor,Spain,Female,34,1,0.0,2,True,True,97932.68,False
252,Good,France,Female,79,0,0.0,2,False,True,170968.99,False
253,Poor,Germany,Male,37,2,79731.91,1,True,True,57558.95,False
254,Good,Spain,Male,28,8,0.0,1,False,False,176713.47,False
255,Good,Spain,Male,41,0,0.0,2,False,True,34283.23,False
256,Good,France,Male,34,10,0.0,2,True,True,198637.34,False
257,Good,Germany,Female,34,6,37266.67,2,False,False,156917.12,False
258,Good,France,Female,30,6,127992.25,1,True,True,50457.2,False
259,Excellent,Germany,Male,38,3,54901.01,1,True,True,140075.55,False
260,Good,Germany,Male,42,9,108748.08,2,True,True,65323.11,False
261,Good,Spain,Female,48,6,99906.19,1,True,False,64323.24,False
262,Poor,France,Female,32,6,184686.41,2,True,False,14956.44,False
263,Good,France,Female,26,0,110654.02,1,False,True,111879.21,False
264,Good,Spain,Male,31,9,79019.8,1,True,True,18606.23,False
265,Poor,Spain,Female,36,9,99240.51,1,True,False,123137.01,False
266,Very_Poor,France,Male,34,2,0.0,2,True,True,148528.24,False
267,Fair,France,Male,36,7,0.0,2,True,False,13898.31,False
268,Poor,Spain,Female,39,7,0.0,1,False,False,81259.25,True
269,Excellent,Germany,Female,35,7,52436.2,1,True,False,161051.75,False
270,Fair,Spain,Male,41,9,0.0,2,False,True,191599.67,False
271,Good,Germany,Male,34,3,100337.96,3,True,False,48559.19,True
272,Excellent,Germany,Female,34,1,149297.19,2,True,True,186339.74,False
273,Good,France,Male,30,8,0.0,2,True,False,33159.37,False
274,Good,Germany,Male,28,4,145605.44,1,False,True,93883.53,False
275,Good,Spain,Female,37,7,0.0,2,True,True,110899.3,False
276,Good,France,Male,62,3,0.0,1,True,True,11199.04,True
277,Good,France,Female,53,10,0.0,2,True,False,189992.97,False
278,Fair,France,Male,35,6,84026.86,1,False,True,164255.69,False
279,Good,France,Male,46,1,0.0,1,True,False,152167.79,True
280,Excellent,France,Male,39,8,0.0,2,True,True,33949.67,False
281,Good,Spain,Male,29,10,0.0,2,True,True,68143.93,False
282,Very_Poor,Germany,Male,35,4,138718.92,1,True,True,47251.79,True
283,Excellent,France,Male,42,7,118274.71,1,True,True,25885.72,False
284,Excellent,France,Female,22,8,174185.98,2,False,True,192633.85,False
285,Good,France,Male,40,7,113208.86,2,True,False,34577.36,False
286,Fair,Spain,Male,29,5,103907.28,1,True,False,161229.84,False
287,Very_Poor,France,Female,32,8,119023.28,1,True,False,100816.29,False
288,Good,Spain,Female,26,5,166297.89,1,True,True,181694.44,False
289,Poor,Spain,Male,34,10,0.0,2,True,False,79078.91,False
290,Good,Germany,Male,42,9,63227.0,1,False,True,137316.32,False
291,Good,Spain,Female,41,5,94521.17,2,True,False,194926.86,False
292,Poor,France,Male,27,7,0.0,2,True,False,51285.49,False
293,Good,Spain,Female,34,9,112822.26,1,False,False,150401.53,True
294,Good,France,Male,38,3,0.0,2,True,True,112491.96,False
295,Good,France,Male,25,2,135903.33,1,True,False,73656.38,False
296,Good,France,Female,31,4,125169.26,1,True,True,106636.89,False
297,Good,Spain,Female,44,7,0.0,3,True,False,155853.52,True
298,Poor,France,Male,58,0,149117.31,1,True,True,162599.51,False
299,Fair,France,Male,33,5,0.0,2,True,True,103737.82,False
300,Good,France,Female,31,10,0.0,2,True,False,160990.27,False
301,Fair,Spain,Female,36,6,132311.71,1,False,False,15462.84,False
302,Good,France,Male,35,8,0.0,2,True,False,10334.05,False
303,Good,France,Female,33,6,0.0,2,True,True,190686.16,False
304,Poor,France,Male,33,4,118082.89,1,False,False,94440.45,False
305,Good,France,Male,31,1,119266.69,1,True,True,28257.63,False
306,Good,France,Male,43,2,0.0,1,True,True,170034.95,True
307,Fair,Germany,Male,35,7,156847.29,2,True,False,31824.29,False
308,Fair,France,Male,50,4,137104.47,1,True,False,127166.49,True
309,Very_Poor,Germany,Male,31,8,78398.69,1,True,False,44937.01,False
310,Fair,France,Female,80,4,0.0,2,True,True,188603.07,False
311,Good,Germany,Male,30,6,63669.42,1,True,False,145111.37,False
312,Fair,France,Male,38,3,0.0,2,False,False,171463.83,False
313,Excellent,Germany,Female,59,0,135296.33,1,True,False,182822.5,False
314,Good,Spain,Male,36,2,153804.44,1,True,True,87213.33,False
315,Very_Poor,Spain,Male,37,3,0.0,2,False,False,57175.32,False
316,Poor,France,Male,49,2,147069.78,1,True,False,120540.83,True
317,Good,Spain,Male,42,9,0.0,2,True,True,28714.34,False
318,Fair,Spain,Female,22,3,0.0,1,True,False,85426.28,False
319,Very_Poor,France,Male,24,4,95741.75,1,True,False,46170.75,False
320,Poor,Spain,Female,57,2,145965.33,1,True,True,64448.36,False
321,Good,France,Female,30,8,141441.75,1,True,True,16278.97,False
322,Good,France,Male,40,1,139290.41,1,True,False,182855.42,True
323,Good,France,Female,31,4,0.0,2,False,False,50404.72,False
324,Good,France,Male,30,3,0.0,2,True,False,107640.25,False
325,Good,France,Male,35,4,144428.87,1,True,False,134132.65,False
326,Poor,France,Male,35,2,0.0,2,True,False,103480.69,False
327,Fair,France,Female,46,9,95441.27,1,True,False,108761.05,True
328,Good,Germany,Male,35,1,144848.74,1,True,True,179012.3,False
329,Good,Germany,Male,26,7,116244.14,2,True,True,95145.14,False
330,Fair,France,Male,50,7,0.0,2,False,True,72143.44,False
331,Good,Spain,Female,40,1,146502.07,1,True,False,19162.89,False
332,Good,Germany,Male,44,2,117028.6,2,False,True,144680.18,False
333,Poor,Germany,Female,30,8,112013.81,1,True,False,177772.03,True
334,Fair,Spain,Female,37,6,108269.37,1,True,False,5597.94,False
335,Very_Poor,France,Male,29,7,182123.79,1,True,False,116828.51,True
336,Fair,Germany,Female,32,3,150923.74,2,False,True,174652.51,False
337,Fair,France,Male,33,2,0.0,2,True,False,2010.98,False
338,Excellent,Spain,Female,39,5,165272.13,1,True,False,14109.85,True
339,Good,Germany,Female,39,10,115301.31,1,True,False,43527.4,True
340,Fair,Germany,Female,40,6,129502.49,2,False,True,86099.23,True
341,Fair,France,Male,31,4,118342.26,1,False,False,161574.19,False
342,Poor,Spain,Female,47,5,0.0,2,True,True,38970.14,False
343,Poor,France,Male,22,8,0.0,2,False,False,127587.22,False
344,Good,France,Female,25,7,0.0,2,True,False,30380.12,False
345,Excellent,France,Female,43,7,0.0,2,True,False,90908.95,False
346,Fair,Germany,Female,34,9,106937.05,2,True,False,138275.01,False
347,Fair,Germany,Male,59,3,170331.37,1,True,True,32171.79,False
348,Fair,Germany,Female,32,1,114510.85,1,True,True,126143.23,False
349,Poor,France,Male,39,5,0.0,2,True,True,129892.93,False
350,Fair,Spain,Male,32,3,107594.11,2,True,True,102416.84,False
351,Good,Spain,Male,39,2,81273.13,1,True,True,18719.67,False
352,Poor,Spain,Female,32,7,169399.6,1,True,False,61936.22,False
353,Good,Spain,Male,25,6,0.0,2,True,True,78358.94,False
354,Fair,France,Female,45,1,187841.99,2,True,True,147224.27,False
355,Poor,France,Male,30,0,0.0,2,True,False,160979.66,False
356,Excellent,Spain,Female,57,8,126776.3,2,True,True,132298.49,False
357,Poor,Spain,Male,34,9,126436.29,1,True,False,174248.52,True
358,Good,France,Male,41,1,101960.74,1,True,True,123547.28,False
359,Poor,France,Male,58,3,0.0,2,False,True,32790.02,False
360,Good,Spain,Male,28,3,0.0,2,False,True,181543.67,False
361,Fair,Germany,Female,45,2,150842.93,1,False,True,2319.96,True
362,Fair,France,Female,50,9,102535.57,1,True,True,189543.19,False
363,Very_Poor,Germany,Female,29,9,99027.61,2,True,False,10940.4,False
364,Fair,France,Male,68,9,0.0,2,True,True,199493.38,False
365,Fair,Spain,Female,33,3,0.0,1,True,True,188193.25,False
366,Poor,Germany,Female,42,9,87271.41,2,True,False,172572.64,False
367,Very_Poor,Germany,Female,35,8,102742.91,2,True,True,189339.6,False
368,Fair,Germany,Male,34,2,40105.51,2,False,True,53512.16,False
369,Poor,France,Female,29,2,152265.43,1,True,False,34004.44,False
370,Excellent,Spain,Male,42,4,141947.67,1,True,True,10598.29,False
371,Fair,Germany,Female,75,1,106307.91,2,False,True,113428.77,False
372,Fair,Germany,Male,31,0,107884.81,2,True,True,183487.98,False
373,Excellent,Germany,Male,31,1,125013.72,1,True,True,187658.09,False
374,Good,Germany,Male,35,7,58469.37,2,True,True,172459.39,False
375,Good,France,Female,39,8,0.0,1,False,True,21016.0,False
376,Good,Germany,Male,45,10,117231.63,3,True,True,122381.02,True
377,Poor,Spain,Male,35,4,152390.26,1,True,False,128123.66,False
378,Fair,Spain,Female,30,2,34013.63,1,True,False,19570.63,False
379,Good,Spain,Female,39,2,0.0,3,False,False,188150.6,True
380,Very_Poor,France,Female,50,9,0.0,2,True,True,111020.24,False
381,Good,France,Male,36,7,101583.11,2,True,False,123775.15,False
382,Very_Poor,Germany,Female,30,10,77168.87,2,False,True,146700.22,False
383,Good,Germany,Male,28,8,124695.72,2,True,False,145251.35,False
384,Good,Germany,Male,44,3,105934.96,1,True,False,82463.69,False
385,Poor,France,Female,66,9,0.0,1,True,True,15928.49,False
386,Fair,Spain,Male,46,6,0.0,2,True,False,45886.33,False
387,Good,Spain,Male,62,2,0.0,2,True,True,186489.95,False
388,Good,Spain,Female,45,2,0.0,2,False,True,162922.65,False
389,Poor,France,Female,21,10,161525.96,2,True,False,9262.77,False
390,Good,Germany,Female,29,7,147199.07,1,True,True,84932.4,False
391,Good,Germany,Male,38,3,183102.29,1,True,True,71557.12,False
392,Fair,Spain,Male,46,9,127209.0,2,True,False,77405.95,True
393,Poor,Spain,Male,38,8,0.0,2,False,False,417.41,True
394,Poor,Spain,Female,24,0,97378.54,1,True,True,71405.17,False
395,Fair,Germany,Female,37,2,136925.09,2,False,True,153400.24,False
396,Poor,France,Male,33,3,54503.55,1,True,True,371.05,False
397,Poor,Germany,Male,32,8,155726.85,1,True,False,67789.99,False
398,Good,France,Female,39,9,0.0,2,False,True,145894.9,False
399,Fair,France,Female,66,1,135842.41,1,True,False,183840.51,True
400,Fair,France,Male,52,1,63349.75,1,True,False,108887.44,False
401,Poor,Germany,Female,38,4,129499.42,1,True,True,154071.27,False
402,Good,Spain,Male,52,8,0.0,2,False,True,179291.85,False
403,Very_Poor,Spain,Male,36,6,70438.01,2,False,True,56937.43,False
404,Good,France,Male,23,8,0.0,2,True,True,112239.03,False
405,Good,France,Male,36,9,0.0,1,True,False,45909.87,False
406,Poor,Spain,Female,49,9,141434.04,1,False,False,173779.25,True
407,Fair,Spain,Female,37,4,0.0,2,True,False,125696.26,False
408,Good,Germany,Male,37,10,152958.29,2,True,True,159585.61,False
409,Poor,Germany,Female,41,3,138306.34,1,True,False,106761.47,False
410,Good,Spain,Male,23,10,0.0,2,False,False,129590.18,False
411,Excellent,France,Male,38,1,0.0,2,True,True,80006.65,False
